id,name,access,addr:city,addr:district,addr:housenumber,addr:locality,addr:place,addr:postcode,addr:street,addr:unit,alt_name,barrier,created_by,description,designation,disused:leisure,fee,fence_type,landuse,layer,leisure,location,material,name:ar,name:de,name:en,name:es,name:etymology,name:etymology:description,name:etymology:wikidata,name:fa,name:fr,name:hi,name:ml,name:ta,name:ur,name:zh,noname,official_name,old_name,opening_hours,operator,operator:type,parking,short_name,source,source:boundary,source_ref,toilets:access,tourism,type,wall,website,wheelchair,wikidata,wikimedia_commons,wikipedia,latitude,longitude
370741566,,,,,,,,,,,,,,,,,,,grass,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6139694,77.2095042
370765170,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6288856,77.235446
370902434,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6067116,77.2292414
370903615,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6032607,77.2237087
370908547,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6065401,77.2175413
370947966,Pandara Road Colony Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,NDMC,,,,,,,,,way,yes,,,,,,28.6052351,77.2289748
402859108,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5823466,77.1948136
402859113,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5844853,77.1947715
402859115,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5848315,77.1935763
402859116,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.583682,77.1924624
414777308,Nehru Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,Q1047,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6340364,77.1807897
427196474,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6341678,77.1674951
427196482,Vishnu Garden,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6366465,77.1759297
437448251,Jhandewalan Extension Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6461062,77.2021034
464253915,Lok Nayak Jaya Prakash Narayan Memorial Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6353082,77.2413218
485053607,Palika Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,पालिका पार्क,,,,,,,,,,,,,,,,,,way,,,,,,,28.6302969,77.2193951
